Address,Latitude,Longitude,ZIP_Code
100 block of Army Navy Drive,38.8646845,-77.0533339,22202
100 block of Brookside Drive,38.8767414,-77.0871532,22201
100 block of Chain Bridge Road,38.9291278,-77.1176912,22101
100 block of Francisco Road,38.8799697,-77.1067698,22203
100 block of Key Boulevard,38.8933798,-77.0861211,22201
100 block of Linville Drive,38.8799697,-77.1067698,22203
100 block of N. Abingdon Street,38.8680645,-77.1149614,22203
100 block of N. Bedford Street,38.8759242,-77.0869906,22201
100 block of N. Brookside Drive,38.8767414,-77.0871532,22201
100 block of N. Carlin Springs Road,38.8729294,-77.119969,22203
100 block of N. Chain Bridge Road,38.9291278,-77.1176912,22101
100 block of N. Cleveland Street,38.8761261,-77.0883815,22201
100 block of N. Columbus Street,38.8676043,-77.1188143,22203
100 block of N. Edgewood Street,38.8758453,-77.0889778,22201
100 block of N. Edison Street,38.86807719999999,-77.1212129,22203
100 block of N. Fillmore Street,38.875107,-77.0904238,22201
100 block of N. Galveston Street,38.8684437,-77.1252133,22203
100 block of N. Garfield Street,38.8747358,-77.0919332,22201
100 block of N. George Mason Drive,38.869667,-77.107382,22203
100 block of N. Glebe Road,38.8717108,-77.10230179999999,22203
100 block of N. Granada Street,38.8682931,-77.1242245,22203
100 block of N. Greenbrier Street,38.8683647,-77.12315699999999,22203
100 block of N. Highland Street,38.8745112,-77.0928965,22201
100 block of N. Irving Street,38.8743497,-77.0945327,22201
100 block of N. Jackson Street,38.8737905,-77.0961737,22201
100 block of N. Liberty Street,38.8690399,-77.1373559,22203
100 block of N. Montague Street,38.8673535,-77.13703389999999,22203
100 block of N. Nottingham Street,38.8670019,-77.1378429,22203
100 block of N. Oakland Street,38.872315,-77.1013775,22203
100 block of N. Park Drive,38.8678478,-77.116298,22203
100 block of N. Randolph Street,38.9028894,-77.1113352,22207
100 block of N. Thomas Street,38.8706479,-77.1045132,22203
100 block of N. Trenton Street,38.8700906,-77.1057694,22203
100 block of N. Wakefield Street,38.8685831,-77.1139573,22203
100 block of N. Wayne Street,38.87696100000001,-77.085374,22201
100 block of N. Wilson Boulevard,38.8801082,-77.1115632,22203
100 block of Pershing Drive,38.8742315,-77.0813257,22211
100 block of S. Aberdeen Street,38.8645528,-77.1159088,22204
100 block of S. Abingdon Street,38.8666671,-77.1128231,22204
100 block of S. Barton Street,38.872949,-77.0865072,22204
100 block of S. Buchanan Street,38.8654352,-77.1173419,22204
100 block of S. Cleveland Street,38.872241,-77.0870667,22204
100 block of S. Columbus Street,38.86559219999999,-77.1187407,22204
100 block of S. Courthouse Road,38.87267240000001,-77.082003,22204
100 block of S. Fenwick Street,38.8720718,-77.0897894,22204
100 block of S. Fillmore Street,38.8721161,-77.0890998,22204
100 block of S. Frederick Street,38.8525936,-77.1149591,22204
100 block of S. Garfield Street,38.87198739999999,-77.0908427,22204
100 block of S. George Mason Drive,38.8672305,-77.10726439999999,22204
100 block of S. Glebe Road,38.8693899,-77.0996258,22204
100 block of S. Glebe Street,38.8693899,-77.0996258,22204
100 block of S. Hayes Street,38.854832,-77.0595004,22202
100 block of S. Highland Street,38.8718156,-77.0918299,22204
100 block of S. Hudson Street,38.8712145,-77.09253199999999,22204
100 block of S. Madison Street,38.865356,-77.1327526,22204
100 block of S. Old Glebe Road,38.8691661,-77.09784250000001,22204
100 block of S. Park Drive,38.8648491,-77.1167629,22204
100 block of S. Pershing Drive,38.8665052,-77.111099,22204
100 block of S. Utah Street,38.8666249,-77.1083841,22204
100 block of S. Wise Street,38.8732934,-77.0848324,22204
100 block of S. Woodrow Street,38.8662088,-77.1114379,22204
100 block of Sheridan Avenue,38.8724452,-77.0795953,22211
100 block of Steel Street,38.8799697,-77.1067698,22203
1000 block N. Glebe Road,38.8823678,-77.1167608,22201
1000 block N. Quintana Street,38.8779157,-77.1506477,22205
1000 block of 13th Street N.,38.888761,-77.0808047,22201
1000 block of 16th Street S.,38.8582823,-77.06348990000001,22202
1000 block of 17th Street S.,38.8575559,-77.0634719,22202
1000 block of 18th Street S.,38.8569555,-77.06329380000001,22202
1000 block of 19th Street N.,38.8969937,-77.06895,22209
1000 block of 19th Street S.,38.8561129,-77.0635429,22202
1000 block of 20th Street S.,38.8554238,-77.0634395,22202
1000 block of 21st Street S,38.8547805,-77.0632455,22202
1000 block of 21st Street S.,38.8547805,-77.0632455,22202
1000 block of 22nd Street S.,38.8540131,-77.0632226,22202
1000 block of 26th Road S.,38.8494265,-77.0617032,22202
1000 block of 26th Street S,38.8515229,-77.0633945,22202
1000 block of 26th Street S.,38.8515229,-77.0633945,22202
1000 block of Arlington Boulevard,38.8908349,-77.0683389,22209
1000 block of Arlington Boulevard.,38.8908349,-77.0683389,22209
1000 block of Army Navy Drive,38.8659948,-77.0628268,22202
1000 block of Columbia Pike,38.869689,-77.06130279999999,22202
1000 block of N. 10th Street,38.8799697,-77.1067698,22203
1000 block of N. 19th Street,38.8799697,-77.1067698,22203
1000 block of N. Arlington Boulevard,38.8712252,-77.0975404,22204
1000 block of N. Arlington Mill Drive,38.877062,-77.1369441,22205
1000 block of N. Cleveland Street,38.8847787,-77.089058,22201
1000 block of N. Daniel Street,38.8846947,-77.09100339999999,22201
1000 block of N. Danville Street,38.8846166,-77.0898352,22201
1000 block of N. Edgewood Street,38.8847578,-77.0921049,22201
1000 block of N. Fillmore Street,38.8845292,-77.09270699999999,22201
1000 block of N. Filmore Street,38.8845292,-77.09270699999999,22201
1000 block of N. Garfield Street,38.8844314,-77.0935696,22201
1000 block of N. George Mason Drive,38.8824883,-77.12332549999999,22205
1000 block of N. Glebe Road,38.8823678,-77.1167608,22201
1000 block of N. Highland Street,38.8846844,-77.09486629999999,22201
1000 block of N. Hudson Street,38.884505,-77.095537,22201
1000 block of N. Jefferson Street,38.8800691,-77.1318654,22205
1000 block of N. Kennebec Street,38.8798863,-77.1355483,22205
1000 block of N. Kennesaw Street,38.8804476,-77.1378301,22205
1000 block of N. Kensington Street,38.8800263,-77.1331014,22205
1000 block of N. Kentucky Street,38.8804652,-77.13721369999999,22205
1000 block of N. Kirkwood Street,38.8849174,-77.0997568,22201
1000 block of N. Larrimore Street,38.8766215,-77.13794399999999,22205
1000 block of N. Liberty Street,38.8765849,-77.1391462,22205
